sale_id,product_id,product_name,quantity_sold,price_per_unit,total_amount,sale_date
S00001,P0001,QuantumCore Laptop Pro X1,1,1299.99,1299.99,2026-01-24 09:15:00
S00002,P0002,NovaStream Wireless Mouse,2,29.99,59.98,2026-01-24 09:20:00
S00003,P0005,TerraByte External SSD 1TB,1,89.99,89.99,2026-01-24 09:25:00
S00004,P0013,SilentKey Mechanical Keyboard,1,119.99,119.99,2026-01-24 10:05:00
S00005,P0023,EcoPrint Recycled Paper (500 Sheets),5,12.99,64.95,2026-01-24 10:15:00
S00006,P0008,CosmoView 27-inch Monitor,1,299.00,299.00,2026-01-24 11:30:00
S00007,P0036,GourmetBlend Coffee Beans (1kg),2,19.50,39.00,2026-01-24 11:45:00
S00008,P0049,TuneFlow Wireless Earbuds,1,55.00,55.00,2026-01-24 12:10:00
S00009,P0002,NovaStream Wireless Mouse,3,29.99,89.97,2026-01-24 13:00:00
S00010,P0010,FlexiFit Yoga Mat,1,22.50,22.50,2026-01-24 14:00:00
S00011,P0051,NovaBook UltraSlim Laptop,1,999.00,999.00,2026-01-24 14:15:00
S00012,P0025,StarLight LED Desk Lamp,2,45.99,91.98,2026-01-24 14:30:00
S00013,P0033,BrightWrite Ballpoint Pens (Pack of 10),3,8.99,26.97,2026-01-24 15:00:00
S00014,P0041,DataVault Portable Hard Drive 2TB,1,129.99,129.99,2026-01-24 15:15:00
S00015,P0003,OrionDesk Ergonomic Chair,1,249.50,249.50,2026-01-24 15:45:00
S00016,P0007,TechPro Wireless Headphones,1,79.99,79.99,2026-01-24 16:00:00
S00017,P0015,SmartType Bluetooth Keyboard,2,59.99,119.98,2026-01-24 16:30:00
S00018,P0028,NutriBlend Protein Powder (Vanilla),1,35.99,35.99,2026-01-24 17:00:00
S00019,P0040,GreenLeaf Organic Tea Sampler,4,15.99,63.96,2026-01-24 17:15:00
S00020,P0012,AquaPure Water Bottle (32oz),2,18.99,37.98,2026-01-24 17:30:00 S00021,P0120,CulinaryZ200 373,3,705.29,2115.87,2026-05-03 09:27:46
S00022,P0241,AlphaMax 842,4,1466.52,5866.08,2026-04-12 16:27:57
S00023,P0236,TerraGlow 353,1,240.96,240.96,2026-05-13 13:51:35
S00024,P0341,SilentStream 877,4,933.53,3734.12,2026-03-11 05:56:18
S00025,P0172,OmegaDesk 908,4,951.07,3804.28,2026-05-10 13:22:09
S00026,P0420,OrionMini 796,1,1010.12,1010.12,2026-04-24 13:09:34
S00027,P0365,OmegaPrint 822,2,811.43,1622.86,2026-05-09 05:50:10
S00028,P0488,ChronoMate 718,1,1185.62,1185.62,2026-04-05 09:47:04
S00029,P0263,DeltaGuard 633,3,97.94,293.82,2026-03-16 15:49:41
S00030,P0524,GamerPrint 623,1,555.08,555.08,2026-04-19 13:18:49
S00031,P0079,AlertPro Personal Safety Alarm,2,12.99,25.98,2026-04-01 23:00:57
S00032,P0120,CulinaryZ200 373,4,705.29,2821.16,2026-03-06 04:42:23
S00033,P0577,AquaUltra 702,2,400.57,801.14,2026-04-16 20:18:19
S00034,P0216,QuantumDesk 716,3,529.79,1589.37,2026-05-13 16:45:49
S00035,P0042,ClearSound Conference Mic,2,65.5,131.0,2026-03-26 20:06:32
S00036,P0231,TerraDrill 144,4,421.07,1684.28,2026-03-29 16:53:43
S00037,P0007,Zenith Bluetooth Headphones,2,79.99,159.98,2026-03-17 04:50:16
S00038,P0030,NatureScape Canvas Wall Art,2,65.0,130.0,2026-05-26 00:08:59
S00039,P0012,GigaPower Portable Charger,4,45.75,183.0,2026-05-23 17:27:41
S00040,P0176,AeroFit 539,1,144.43,144.43,2026-04-07 05:57:04
S00041,P0456,DataPlus 232,4,850.24,3400.96,2026-05-18 21:20:24
S00042,P0355,SilentMini 852,3,402.53,1207.59,2026-04-21 20:18:43
S00043,P0275,GigaPlus 555,1,993.8,993.8,2026-04-14 21:13:44
S00044,P0590,DataPlus 762,2,1409.69,2819.38,2026-05-06 17:10:19
S00045,P0043,CloudNine Silk Pillowcase,3,29.99,89.97,2026-05-03 14:45:18
S00046,P0023,EcoPrint Recycled Paper (500 Sheets),5,12.99,64.95,2026-05-12 23:41:33
S00047,P0052,ErgoTouch Vertical Mouse,5,34.99,174.95,2026-03-25 19:37:51
S00048,P0227,HydroCast 101,1,265.72,265.72,2026-05-08 05:04:48
S00049,P0017,SolarFlare Garden Lights (4-Pack),3,40.5,121.5,2026-03-08 23:55:06
S00050,P0110,DataPlus 238,2,319.89,639.78,2026-05-23 02:42:45
S00051,P0260,DeltaMaster 547,1,448.87,448.87,2026-03-12 10:33:31
S00052,P0496,TerraCore 571,4,886.96,3547.84,2026-03-02 17:23:04
S00053,P0344,OmegaPro 488,5,1420.6,7103.0,2026-04-04 23:39:29
S00054,P0484,StellarMate 780,1,1018.62,1018.62,2026-03-09 14:55:27
S00055,P0537,EpsilonSpeed 588,2,786.82,1573.64,2026-04-30 13:03:57
S00056,P0308,BetaSafe 608,4,492.69,1970.76,2026-03-17 10:21:56
S00057,P0388,ZenithKey 643,1,1012.67,1012.67,2026-05-17 01:15:19
S00058,P0107,PowerX1 942,1,947.85,947.85,2026-03-28 07:37:07
S00059,P0597,AeroPlus 202,4,986.19,3944.76,2026-05-11 04:56:02
S00060,P0441,StellarSpeed 463,3,1406.17,4218.51,2026-04-11 12:28:54
S00061,P0311,SolarPlus 593,2,326.69,653.38,2026-05-20 09:40:07
S00062,P0411,ZetaBeam 329,5,1294.73,6473.65,2026-03-30 03:06:13
S00063,P0029,BuildRight 3D Printer Filament (PLA,4,10.0,40.0,2026-04-23 00:42:26
S00064,P0430,CosmoSpeed 136,1,394.66,394.66,2026-05-22 07:43:18
S00065,P0290,EcoX1 915,4,1120.83,4483.32,2026-05-13 08:10:16
S00066,P0446,GammaSeries 9 227,2,661.94,1323.88,2026-03-04 07:17:24
S00067,P0188,GigaGuard 886,1,37.2,37.2,2026-04-19 19:53:43
S00068,P0020,DataSafe Encrypted USB Drive 128GB,1,55.25,55.25,2026-05-03 07:19:45
S00069,P0267,DeltaGlow 703,4,178.49,713.96,2026-03-12 11:57:52
S00070,P0520,AeroGuard 649,2,1266.58,2533.16,2026-04-16 21:10:10
S00071,P0019,RoboVac Smart Cleaner X200,5,279.99,1399.95,2026-03-04 02:20:11
S00072,P0427,StellarGlow 794,3,685.19,2055.57,2026-04-03 07:32:24
S00073,P0175,AlphaMini 790,1,757.44,757.44,2026-03-15 18:16:29
S00074,P0329,QuantumCore 645,5,738.92,3694.6,2026-03-18 19:06:34
S00075,P0155,CosmoFlare 485,5,99.83,499.15,2026-05-06 00:57:12
S00076,P0290,EcoX1 915,4,1120.83,4483.32,2026-03-03 12:07:24
S00077,P0446,GammaSeries 9 227,5,661.94,3309.7,2026-03-06 08:32:00
S00078,P0097,ProStretch Resistance Loops,2,12.0,24.0,2026-05-10 08:56:22
S00079,P0169,StellarMini 419,5,959.41,4797.05,2026-04-03 09:39:19
S00080,P0330,PowerUltra 301,1,1447.35,1447.35,2026-03-07 06:30:05
S00081,P0514,VisionDrill 929,3,226.77,680.31,2026-05-17 02:19:48
S00082,P0375,EcoGlow 706,5,398.36,1991.8,2026-05-14 02:16:18
S00083,P0354,DataGrip 834,1,307.13,307.13,2026-03-10 11:36:44
S00084,P0236,TerraGlow 353,2,240.96,481.92,2026-05-26 13:08:43
S00085,P0592,ZenithBeam 813,5,96.74,483.7,2026-05-28 19:56:04
S00086,P0535,GammaBeam 123,1,1018.89,1018.89,2026-03-08 12:10:20
S00087,P0521,OmegaDesk 327,5,251.46,1257.3,2026-04-24 01:54:20
S00088,P0114,CulinaryGlow 709,1,84.8,84.8,2026-03-10 08:36:58
S00089,P0332,VisionCast 933,4,789.0,3156.0,2026-04-06 07:00:26
S00090,P0022,PowerCore Desktop PC (i7,4,10.0,40.0,2026-04-14 01:46:50
S00091,P0316,BetaMini 650,3,914.41,2743.23,2026-03-06 20:58:35
S00092,P0396,BetaStream 788,3,183.64,550.92,2026-04-11 13:17:31
S00093,P0530,StellarPure 446,1,572.17,572.17,2026-04-30 15:44:00
S00094,P0492,GigaMate 260,3,124.15,372.45,2026-03-22 05:54:48
S00095,P0312,ChronoPro 233,5,537.82,2689.1,2026-04-09 20:04:59
S00096,P0423,AeroMate 230,4,1372.69,5490.76,2026-03-05 21:48:43
S00097,P0573,EcoMate 743,1,995.52,995.52,2026-05-05 00:29:16
S00098,P0357,CulinaryZ200 592,3,402.61,1207.83,2026-05-16 06:41:53
S00099,P0268,GamerSeries 9 499,3,134.44,403.32,2026-05-01 15:44:57
S00100,P0016,CulinaryMaster Chef Knife Set,5,150.0,750.0,2026-04-05 09:28:39
S00101,P0247,QuantumWave 361,1,1471.94,1471.94,2026-03-21 07:34:40
S00102,P0128,HydroMax 342,2,218.43,436.86,2026-04-03 06:24:11
S00103,P0378,OmegaDesk 209,5,767.21,3836.05,2026-05-14 02:23:39
S00104,P0323,TerraMate 399,2,992.81,1985.62,2026-03-07 02:26:55
S00105,P0222,CosmoMaster 995,1,165.91,165.91,2026-03-19 08:57:36
S00106,P0432,EcoCast 791,1,202.11,202.11,2026-05-05 05:17:49
S00107,P0536,EcoByte 839,3,205.41,616.23,2026-03-07 08:52:29
S00108,P0050,OfficePro Shredder (8-Sheet),4,45.99,183.96,2026-05-27 02:51:25
S00109,P0544,GigaGuard 566,2,1253.84,2507.68,2026-05-06 15:24:53
S00110,P0273,AuraByte 817,2,50.73,101.46,2026-05-25 00:30:17
S00111,P0396,BetaStream 788,3,183.64,550.92,2026-04-27 09:37:39
S00112,P0323,TerraMate 399,1,992.81,992.81,2026-05-01 15:10:09
S00113,P0532,EcoWave 726,4,961.76,3847.04,2026-04-13 15:27:45
S00114,P0346,DataKey 540,5,237.48,1187.4,2026-03-07 13:16:23
S00115,P0062,PowerMax Gaming PC (Ryzen 7,3,10.0,30.0,2026-04-18 02:00:44
S00116,P0592,ZenithBeam 813,2,96.74,193.48,2026-05-28 18:24:26
S00117,P0305,ZetaPro 441,1,76.23,76.23,2026-04-18 14:04:39
S00118,P0038,KnitJoy Yarn Bundle (Assorted Colors),1,30.0,30.0,2026-04-24 09:13:28
S00119,P0196,ZenithFlow 785,4,160.68,642.72,2026-04-15 14:31:52
S00120,P0366,SilentSeries 9 554,4,879.83,3519.32,2026-04-19 02:45:41
S00121,P0355,SilentMini 852,5,402.53,2012.65,2026-03-22 12:06:05
S00122,P0353,GamerFlow 380,1,166.21,166.21,2026-04-02 06:59:31
S00123,P0582,RoboDrill 186,3,86.16,258.48,2026-03-29 14:05:55
S00124,P0033,AutoShine Car Wax Kit,5,33.5,167.5,2026-03-26 16:20:18
S00125,P0565,OrionBeam 376,4,685.4,2741.6,2026-03-07 02:32:24
S00126,P0326,OmegaBeam 815,4,776.62,3106.48,2026-04-11 19:46:42
S00127,P0420,OrionMini 796,1,1010.12,1010.12,2026-04-12 14:43:30
S00128,P0091,TechTablet Android 12 (10-inch),5,189.0,945.0,2026-03-02 13:51:10
S00129,P0311,SolarPlus 593,3,326.69,980.07,2026-04-29 11:57:27
S00130,P0011,ChronoGuard Smartwatch Series 5,1,199.0,199.0,2026-03-06 08:40:58
S00131,P0303,FlexiPure 277,4,813.12,3252.48,2026-05-11 10:18:58
S00132,P0518,QuantumMax 619,3,732.65,2197.95,2026-04-09 22:54:58
S00133,P0530,StellarPure 446,5,572.17,2860.85,2026-05-27 03:37:05
S00134,P0241,AlphaMax 842,1,1466.52,1466.52,2026-04-06 06:16:29
S00135,P0192,FlexiGrip 225,5,1389.36,6946.8,2026-03-07 01:35:56
S00136,P0059,QuickCharge Wireless Charging Pad,3,25.99,77.97,2026-04-06 06:30:46
S00137,P0315,VisionStream 754,2,1279.73,2559.46,2026-03-06 00:57:10
S00138,P0031,PetPal Automatic Feeder,3,75.0,225.0,2026-03-31 07:32:28
S00139,P0463,GamerSeries 9 852,4,628.04,2512.16,2026-03-03 06:03:00
S00140,P0224,GigaZ200 882,4,989.37,3957.48,2026-03-09 03:08:48
S00141,P0428,SilentFit 139,3,221.49,664.47,2026-03-17 14:14:32
S00142,P0273,AuraByte 817,3,50.73,152.19,2026-03-31 10:08:55
S00143,P0060,ComfyRide Bike Seat Cushion,5,20.0,100.0,2026-05-08 04:39:19
S00144,P0580,EpsilonMaster 608,3,1138.35,3415.05,2026-03-03 00:12:55
S00145,P0235,CosmoMaster 612,5,380.52,1902.6,2026-04-12 18:03:04
S00146,P0508,DeltaSpeed 889,5,314.81,1574.05,2026-04-21 17:56:27
S00147,P0499,OmegaGrip 331,1,1321.08,1321.08,2026-03-29 20:19:18
S00148,P0117,EpsilonSeries 9 236,1,166.57,166.57,2026-04-23 18:49:36
S00149,P0063,PrintPerfect Photo Paper (100 Sheets),1,24.99,24.99,2026-03-28 09:55:37
S00150,P0380,AlphaSafe 862,1,581.8,581.8,2026-04-22 06:49:06
S00151,P0450,QuantumSafe 242,2,567.85,1135.7,2026-04-24 01:04:44
S00152,P0164,AlphaPro 826,2,762.95,1525.9,2026-03-05 01:03:54
S00153,P0350,OmegaCore 368,3,1041.43,3124.29,2026-03-24 10:09:56
S00154,P0466,HydroFlare 491,3,1021.0,3063.0,2026-05-01 18:48:27
S00155,P0534,SolarFit 852,2,1106.93,2213.86,2026-03-22 13:29:32
S00156,P0366,SilentSeries 9 554,4,879.83,3519.32,2026-04-12 00:55:48
S00157,P0281,AuraCast 720,1,822.54,822.54,2026-04-22 18:30:46
S00158,P0411,ZetaBeam 329,3,1294.73,3884.19,2026-04-03 17:50:39
S00159,P0105,SilentFlow 902,4,1494.77,5979.08,2026-03-14 00:28:25
S00160,P0236,TerraGlow 353,2,240.96,481.92,2026-03-19 15:08:41
S00161,P0564,HydroPro 411,1,262.82,262.82,2026-04-19 03:46:00
S00162,P0318,DeltaDrill 472,1,624.54,624.54,2026-05-24 14:26:24
S00163,P0100,CycleComfort Gel Bike Gloves,1,17.5,17.5,2026-04-10 08:48:30
S00164,P0399,AquaKey 314,3,744.86,2234.58,2026-05-10 19:55:38
S00165,P0096,GourmetSpice Rack (16 Jars),3,45.0,135.0,2026-04-01 13:55:45
S00166,P0576,GigaMini 329,5,165.83,829.15,2026-03-08 03:36:33
S00167,P0225,GamerFit 760,2,792.47,1584.94,2026-04-01 15:46:11
S00168,P0111,NovaVac 146,3,689.99,2069.97,2026-03-09 03:26:00
S00169,P0432,EcoCast 791,1,202.11,202.11,2026-03-04 04:09:39
S00170,P0119,HydroVac 622,1,528.83,528.83,2026-05-08 12:57:04
S00171,P0317,AuraStream 288,2,852.38,1704.76,2026-05-23 23:29:28
S00172,P0477,SilentBeam 908,4,168.26,673.04,2026-03-31 15:49:12
S00173,P0334,GamerMax 841,2,646.7,1293.4,2026-05-02 12:17:29
S00174,P0228,GammaPro 890,4,395.15,1580.6,2026-05-17 09:06:53
S00175,P0535,GammaBeam 123,5,1018.89,5094.45,2026-03-16 10:31:48
S00176,P0123,TerraFlow 658,4,335.12,1340.48,2026-04-01 09:49:43
S00177,P0094,PowerBrick Universal Laptop Charger,3,38.5,115.5,2026-03-19 04:55:05
S00178,P0070,SereneScapes Zen Garden Kit,3,35.0,105.0,2026-03-28 11:41:47
S00179,P0208,OmegaByte 909,4,558.14,2232.56,2026-04-29 17:20:55
S00180,P0508,DeltaSpeed 889,4,314.81,1259.24,2026-05-05 18:30:09
S00181,P0116,SilentVac 176,3,405.89,1217.67,2026-04-12 23:34:05
S00182,P0148,TerraByte 149,3,20.8,62.4,2026-05-22 07:35:38
S00183,P0203,DeltaKey 626,2,1427.62,2855.24,2026-04-21 11:50:04
S00184,P0571,NovaPrint 705,3,969.47,2908.41,2026-05-26 05:21:06
S00185,P0097,ProStretch Resistance Loops,2,12.0,24.0,2026-05-15 08:48:22
S00186,P0409,AeroFlow 832,4,297.21,1188.84,2026-03-19 12:03:51
S00187,P0326,OmegaBeam 815,4,776.62,3106.48,2026-05-12 09:35:36
S00188,P0548,DataPrint 759,2,1475.6,2951.2,2026-04-03 05:51:20
S00189,P0196,ZenithFlow 785,1,160.68,160.68,2026-03-25 13:49:22
S00190,P0243,OrionCast 148,3,254.87,764.61,2026-05-20 10:57:44
S00191,P0336,RoboSeries 9 707,3,38.0,114.0,2026-03-26 06:18:18
S00192,P0026,TravelMate Suitcase Set (3-Piece),2,180.0,360.0,2026-04-24 14:26:43
S00193,P0107,PowerX1 942,4,947.85,3791.4,2026-03-19 03:37:53
S00194,P0378,OmegaDesk 209,3,767.21,2301.63,2026-04-12 14:44:29
S00195,P0107,PowerX1 942,1,947.85,947.85,2026-05-08 10:22:32
S00196,P0444,CulinaryMaster 147,3,117.87,353.61,2026-03-04 09:47:22
S00197,P0447,ZetaFit 527,2,1328.76,2657.52,2026-04-27 12:39:25
S00198,P0369,ZetaFit 943,4,385.63,1542.52,2026-05-19 20:07:01
S00199,P0202,AlphaCast 769,1,286.74,286.74,2026-05-22 23:58:22
S00200,P0026,TravelMate Suitcase Set (3-Piece),1,180.0,180.0,2026-04-08 00:09:32
S00201,P0248,QuantumGuard 213,5,603.93,3019.65,2026-05-08 21:45:37
S00202,P0010,FlexiFit Yoga Mat,5,22.5,112.5,2026-04-04 13:57:13
S00203,P0565,OrionBeam 376,2,685.4,1370.8,2026-03-09 05:53:17
S00204,P0474,TerraPro 688,5,289.55,1447.75,2026-04-26 10:16:55
S00205,P0107,PowerX1 942,2,947.85,1895.7,2026-03-21 22:25:14
S00206,P0083,DreamWeave Cotton Sheet Set (Queen),3,59.99,179.97,2026-04-23 09:04:11
S00207,P0589,BetaStream 714,2,685.14,1370.28,2026-05-22 14:14:47
S00208,P0560,SilentPure 649,2,437.81,875.62,2026-05-24 13:51:23
S00209,P0094,PowerBrick Universal Laptop Charger,5,38.5,192.5,2026-03-06 12:30:12
S00210,P0139,StellarSpeed 892,3,1020.68,3062.04,2026-05-03 12:45:37
S00211,P0385,GammaSeries 9 960,4,756.5,3026.0,2026-04-26 17:22:53
S00212,P0309,OmegaFlare 509,5,1166.77,5833.85,2026-04-18 21:19:56
S00213,P0481,AeroUltra 733,4,315.3,1261.2,2026-03-26 09:33:39
S00214,P0535,GammaBeam 123,2,1018.89,2037.78,2026-03-27 04:23:56
S00215,P0001,QuantumCore Laptop Pro X1,5,1299.99,6499.95,2026-05-07 09:05:08
S00216,P0045,AquaSplash Swim Goggles,2,14.5,29.0,2026-03-25 08:46:54
S00217,P0514,VisionDrill 929,2,226.77,453.54,2026-03-24 00:45:56
S00218,P0447,ZetaFit 527,2,1328.76,2657.52,2026-03-19 22:00:18
S00219,P0540,GamerByte 213,5,594.23,2971.15,2026-03-29 04:14:40
S00220,P0380,AlphaSafe 862,3,581.8,1745.4,2026-04-23 15:51:40
S00221,P0570,TerraKey 308,4,271.84,1087.36,2026-04-16 01:19:21
S00222,P0189,AuraVac 265,2,1124.86,2249.72,2026-03-25 19:52:44
S00223,P0515,SolarSeries 9 927,4,1359.46,5437.84,2026-04-15 08:53:12
S00224,P0557,SolarStream 466,5,399.31,1996.55,2026-04-27 09:20:14
S00225,P0282,SolarSeries 9 708,4,533.99,2135.96,2026-03-21 18:45:03
S00226,P0031,PetPal Automatic Feeder,2,75.0,150.0,2026-05-16 08:02:56
S00227,P0544,GigaGuard 566,4,1253.84,5015.36,2026-05-14 11:16:23
S00228,P0352,ZetaBeam 301,3,1488.71,4466.13,2026-04-26 09:18:45
S00229,P0129,ZetaFlare 160,5,89.87,449.35,2026-03-18 18:47:30
S00230,P0256,DeltaDesk 215,3,1087.84,3263.52,2026-04-03 20:47:18
S00231,P0078,CozyCrochet Hook Set,2,18.0,36.0,2026-03-07 20:17:29
S00232,P0234,SilentX1 765,2,658.95,1317.9,2026-04-20 07:41:12
S00233,P0011,ChronoGuard Smartwatch Series 5,3,199.0,597.0,2026-04-15 09:04:49
S00234,P0110,DataPlus 238,2,319.89,639.78,2026-04-08 09:03:48
S00235,P0343,SilentPlus 400,3,1490.76,4472.28,2026-05-09 07:55:19
S00236,P0355,SilentMini 852,4,402.53,1610.12,2026-04-03 16:43:02
S00237,P0581,RoboSeries 9 371,1,145.82,145.82,2026-05-10 03:17:03
S00238,P0426,NovaSafe 145,5,1182.4,5912.0,2026-03-22 03:58:49
S00239,P0313,AuraWave 150,5,220.92,1104.6,2026-03-18 02:05:36
S00240,P0433,OmegaPro 358,4,1054.08,4216.32,2026-03-21 23:55:03
S00241,P0350,OmegaCore 368,4,1041.43,4165.72,2026-03-31 00:55:41
S00242,P0319,OmegaStream 165,5,383.37,1916.85,2026-03-13 22:46:15
S00243,P0290,EcoX1 915,1,1120.83,1120.83,2026-05-04 11:59:51
S00244,P0555,CulinaryX1 615,2,580.39,1160.78,2026-05-27 10:50:53
S00245,P0340,GigaGlow 140,5,1157.14,5785.7,2026-03-13 15:11:50
S00246,P0181,StellarMate 754,1,501.85,501.85,2026-04-16 18:43:47
S00247,P0249,EcoGrip 360,2,396.33,792.66,2026-03-29 06:21:06
S00248,P0225,GamerFit 760,5,792.47,3962.35,2026-04-21 16:22:17
S00249,P0289,GammaX1 743,1,272.86,272.86,2026-05-28 12:39:53
S00250,P0125,OmegaCast 388,3,1206.17,3618.51,2026-04-04 05:56:00
S00251,P0181,StellarMate 754,1,501.85,501.85,2026-05-03 09:00:59
S00252,P0145,RoboDrill 291,4,42.81,171.24,2026-03-29 00:17:13
S00253,P0342,OrionPro 190,4,1122.46,4489.84,2026-04-26 18:52:50
S00254,P0018,CodeWeaver Pro IDE Software,4,99.0,396.0,2026-05-22 05:37:46
S00255,P0052,ErgoTouch Vertical Mouse,1,34.99,34.99,2026-03-10 17:39:55
S00256,P0505,NovaDesk 363,3,506.7,1520.1,2026-04-29 03:45:59
S00257,P0286,VisionCast 407,4,763.41,3053.64,2026-04-26 00:30:43
